Zone,t1h1,t1h2,t1h3,t1h4,t1h5,t1h6,t1h7,t1h8,t1h9,t1h10,t1h11,t1h12,t1h13,t1h14,t1h15,t1h16,t1h17,t1h18,t1h19,t1h20,t1h21,t1h22,t1h23,t1h24,t2h1,t2h2,t2h3,t2h4,t2h5,t2h6,t2h7,t2h8,t2h9,t2h10,t2h11,t2h12,t2h13,t2h14,t2h15,t2h16,t2h17,t2h18,t2h19,t2h20,t2h21,t2h22,t2h23,t2h24,t3h1,t3h2,t3h3,t3h4,t3h5,t3h6,t3h7,t3h8,t3h9,t3h10,t3h11,t3h12,t3h13,t3h14,t3h15,t3h16,t3h17,t3h18,t3h19,t3h20,t3h21,t3h22,t3h23,t3h24,t4h1,t4h2,t4h3,t4h4,t4h5,t4h6,t4h7,t4h8,t4h9,t4h10,t4h11,t4h12,t4h13,t4h14,t4h15,t4h16,t4h17,t4h18,t4h19,t4h20,t4h21,t4h22,t4h23,t4h24
AE_NJ,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,2192.01,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,1743.75,1743.75,1743.75,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75
AEP_VA,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,2192.01,2192.0099999999998,2192.01,2192.0099999999998,2192.0099999999998,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,2192.0099999999998,2192.0099999999998,2192.01,2192.01,2192.01,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.01,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,2121.3,1822.1859796789263,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1789.7544,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75
AEP_WV,1743.7499999997856,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,2192.01,2192.0099999999998,2192.01,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.01,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,1743.75,1743.75,1743.75,2192.0099999999998,2192.0099999999998,2192.01,2192.01,2192.01,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,2121.3,2121.3,2121.3,2121.3,2121.3,1687.5,1687.5,1687.5,1687.5,2121.3,2121.2999999999997,2014.6764705882354,1687.5,1687.5,1687.5,1687.5,1668.75,1668.75,1668.75,1668.75,1668.75,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.73,2097.7299999999996,2097.7299999999996,1758.3729999999998,1668.75
AEP_KY,1743.7499999997856,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,2192.01,2192.0099999999998,2192.01,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.01,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,1743.75,1743.75,1743.75,2192.0099999999998,2192.0099999999998,2192.01,2192.01,2192.01,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.01,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,2121.3,2121.3,2121.3,2121.3,2121.3,1687.5,1687.5,1687.5,1687.5,2121.3,2121.2999999999997,2014.6764705882354,1687.5,1687.5,1687.5,1687.5,1668.75,1668.75,1668.75,1668.75,1668.75,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.73,2097.7299999999996,2097.7299999999996,1758.3729999999998,1668.75
AEP_TN,1496.631502170585,1496.631502170585,1496.631502170585,1496.631502170585,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75
AEP_OH,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,2192.01,2192.0099999999998,2192.01,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,1743.75,1743.75,1743.75,2192.0099999999998,2192.0099999999998,2192.01,2192.01,2192.01,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,2121.3,2121.3,2121.3,2121.3,2121.3,1687.5,1687.5,1687.5,1687.5,2121.3,2121.3,2121.2999999999997,1687.5,1687.5,1687.5,1687.5,2097.7299999999996,2097.73,1668.75,2097.73,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.73,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996
AEP_IN,1743.7499999997856,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,2192.01,2192.0099999999998,2192.01,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.01,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,1743.75,1743.75,1743.75,2192.0099999999998,2192.0099999999998,2192.01,2192.01,2192.01,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,2121.3,2121.3,2121.3,2121.3,2121.3,1687.5,1687.5,1687.5,1687.5,2121.3,2121.3,2014.6764705882354,1687.5,1687.5,1687.5,1687.5,1668.75,1668.75,1668.75,1668.75,1668.75,2097.7300000000005,2097.7300000000005,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.7299999999996,2097.73,2097.7299999999996,2097.7299999999996,1758.3729999999998,1668.75
AEP_MI,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,837.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,810.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0,801.0
AP_MD,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.01,2192.0099999999998,2192.0099999999998,1743.75,1743.75,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1789.7544,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75
AP_PA,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,1743.75,2192.01,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,2192.0099999999998,1743.75,1743.75,1743.75,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1687.5,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75,1668.75
