Technology,Zone,EC_Category,New_Build,AnnSum,t1h1,t1h2,t1h3,t1h4,t1h5,t1h6,t1h7,t1h8,t1h9,t1h10,t1h11,t1h12,t1h13,t1h14,t1h15,t1h16,t1h17,t1h18,t1h19,t1h20,t1h21,t1h22,t1h23,t1h24
Coal,BGE,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oil,BGE,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT,BGE,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro,BGE,Existing,0,10953.485603151525,530.8,0.0,530.8,0.0,419.2124494594964,449.07315369203116,530.8,0.0,530.8,530.8,530.8,530.8,530.8,530.8,530.8,530.8,530.8,530.8,530.8,530.8,530.8,530.8,530.8,530.8
MSW,BGE,Existing,0,239.6087090648515,64.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,64.5,46.108709064851496,0.0,0.0,0.0,0.0
Bio,BGE,Existing,0,6.6000000000000005,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,0.0,0.0,0.0,0.0,0.0
Landfill_NG,BGE,Existing,0,24.799999999999997,6.199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.199999999999999,6.199999999999999,6.199999999999999,0.0,0.0,0.0,0.0
SolarPV,BGE,Existing,0,22.913760731999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6665003099999999,2.031715572,3.4620693979999997,4.737807686,4.052290798,3.4789572059999996,3.1199140899999995,1.3056112519999998,0.058894419999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oil,DPL_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT,DPL_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bio,DPL_MD,Existing,0,15.2,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,3.8,3.8,0.0,0.0,0.0,0.0
Landfill_NG,DPL_MD,Existing,0,21.599999999999994,5.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.399999999999999,5.399999999999999,5.399999999999999,0.0,0.0,0.0,0.0
NGCC,DPL_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarPV,DPL_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal,APS_MD,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro,APS_MD,Existing,0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0
WindOn,APS_MD,Existing,0,2416.43678403,72.37938185,65.96942671000001,65.7761342,66.42218036999999,70.07863138,64.18205909000001,57.97880229,59.179682660000005,63.479526490000005,84.91145999,92.51117042999999,96.39217123000002,105.99188265999999,117.26298627999999,126.05969026,125.0971381,130.21109108,136.49920568000002,145.50312024000002,143.23586126,134.71837824,127.36025413,133.58536549000002,131.65118392
SolarPV,APS_MD,Existing,0,43.202313884599995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090097083,0.8477077377,3.2099452437,6.4660629608,8.1018172498,8.7240230204,8.2894474227,6.1380128919,1.3352002746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal,PEPCO,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oil,PEPCO,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT,PEPCO,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuc,PEPCO,Existing,0,19200.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0,800.0
MSW,PEPCO,Existing,0,203.39999999999998,67.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.8,67.8,0.0,0.0,0.0,0.0,0.0
Landfill_NG,PEPCO,Existing,0,30.8,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,7.7,7.7,0.0,0.0,0.0,0.0
NGCC,PEPCO,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarPV,PEPCO,Existing,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT,APS_MD,Candidate,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCC,APS_MD,Candidate,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal,APS_MD,Candidate,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WindOn,APS_MD,Candidate,1,19852.806604131143,761.88823,543.8664121509191,23.41868087231478,0.0,0.0,0.0,610.303182,622.944028,657.1873329657717,0.0,823.8399962643916,773.922693462913,1115.7040279999999,871.2358410276687,1326.944108,1227.358252108328,1370.643064,1436.833744,1531.6117920000002,1507.7459079999999,1418.088192,1340.634254,502.8349292788373,1385.801936
SolarPV,APS_MD,Candidate,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuc,APS_MD,Candidate,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT,DPL_MD,Candidate,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCC,DPL_MD,Candidate,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal,DPL_MD,Candidate,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WindOn,DPL_MD,Candidate,1,5630.609060430573,841.8415679999999,0.0,0.0,0.0,0.0,420.6176130499531,0.0,509.81460999999996,337.09094457696943,554.7365960000001,426.30993,79.57544079015348,86.42257437243812,71.38284764105889,272.507428,181.65357400000002,216.02314,151.323532,106.539682,107.29196,144.833038,0.0,515.806696,606.837886
SolarPV,DPL_MD,Candidate,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuc,DPL_MD,Candidate,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT,BGE,Candidate,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCC,BGE,Candidate,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
