Month,Day,Period,PEPCO,BGE,DPL_MD,APS,DPL,APS_MD
1,1,1,0,0,0,0,0,0
1,1,2,0,0,0,0,0,0
1,1,3,0,0,0,0,0,0
1,1,4,0,0,0,0,0,0
1,1,5,0,0,0,0,0,0
1,1,6,0,0,0,0,0,0
1,1,7,0,0,0,0,0,0
1,1,8,0,0,0,0,0,0
1,1,9,0.010750005,0.010750005,0.010750005,0.00082431,0.010750005,0.00082431
1,1,10,0.032769606,0.032769606,0.032769606,0.007755789,0.032769606,0.007755789
1,1,11,0.055839829,0.055839829,0.055839829,0.029368209,0.055839829,0.029368209
1,1,12,0.076416253,0.076416253,0.076416253,0.059158856,0.076416253,0.059158856
1,1,13,0.065359529,0.065359529,0.065359529,0.074124586,0.065359529,0.074124586
1,1,14,0.056112213,0.056112213,0.056112213,0.079817228,0.056112213,0.079817228
1,1,15,0.050321195,0.050321195,0.050321195,0.075841239,0.050321195,0.075841239
1,1,16,0.021058246,0.021058246,0.021058246,0.056157483,0.021058246,0.056157483
1,1,17,0.00094991,0.00094991,0.00094991,0.012215922,0.00094991,0.012215922
1,1,18,0,0,0,0,0,0
1,1,19,0,0,0,0,0,0
1,1,20,0,0,0,0,0,0
1,1,21,0,0,0,0,0,0
1,1,22,0,0,0,0,0,0
1,1,23,0,0,0,0,0,0
1,1,24,0,0,0,0,0,0
1,2,1,0,0,0,0,0,0
1,2,2,0,0,0,0,0,0
1,2,3,0,0,0,0,0,0
1,2,4,0,0,0,0,0,0
1,2,5,0,0,0,0,0,0
1,2,6,0,0,0,0,0,0
1,2,7,0,0,0,0,0,0
1,2,8,4.81E-05,4.81E-05,4.81E-05,0,4.81E-05,0
1,2,9,0.016126725,0.016126725,0.016126725,0.006801742,0.016126725,0.006801742
1,2,10,0.052200415,0.052200415,0.052200415,0.052651398,0.052200415,0.052651398
1,2,11,0.076329273,0.076329273,0.076329273,0.079777674,0.076329273,0.079777674
1,2,12,0.106824817,0.106824817,0.106824817,0.119456873,0.106824817,0.119456873
1,2,13,0.138171847,0.138171847,0.138171847,0.15850637,0.138171847,0.15850637
1,2,14,0.144104779,0.144104779,0.144104779,0.128347077,0.144104779,0.128347077
1,2,15,0.100643535,0.100643535,0.100643535,0.077103809,0.100643535,0.077103809
1,2,16,0.042252683,0.042252683,0.042252683,0.051694186,0.042252683,0.051694186
1,2,17,0.002952732,0.002952732,0.002952732,0.018506623,0.002952732,0.018506623
1,2,18,0,0,0,0,0,0
1,2,19,0,0,0,0,0,0
1,2,20,0,0,0,0,0,0
1,2,21,0,0,0,0,0,0
1,2,22,0,0,0,0,0,0
1,2,23,0,0,0,0,0,0
1,2,24,0,0,0,0,0,0
1,3,1,0,0,0,0,0,0
1,3,2,0,0,0,0,0,0
1,3,3,0,0,0,0,0,0
1,3,4,0,0,0,0,0,0
1,3,5,0,0,0,0,0,0
1,3,6,0,0,0,0,0,0
1,3,7,0,0,0,0,0,0
1,3,8,0,0,0,0,0,0
1,3,9,0.004529812,0.004529812,0.004529812,0.031584826,0.004529812,0.031584826
1,3,10,0.009686793,0.009686793,0.009686793,0.182656587,0.009686793,0.182656587
1,3,11,0.026252994,0.026252994,0.026252994,0.29778623,0.026252994,0.29778623
1,3,12,0.033743549,0.033743549,0.033743549,0.34390169,0.033743549,0.34390169
1,3,13,0.040852996,0.040852996,0.040852996,0.379846973,0.040852996,0.379846973
1,3,14,0.039130569,0.039130569,0.039130569,0.47400181,0.039130569,0.47400181
1,3,15,0.029179404,0.029179404,0.029179404,0.475354564,0.029179404,0.475354564
1,3,16,0.016451754,0.016451754,0.016451754,0.404873711,0.016451754,0.404873711
1,3,17,0.001770495,0.001770495,0.001770495,0.129328021,0.001770495,0.129328021
1,3,18,0,0,0,0.001571093,0,0.001571093
1,3,19,0,0,0,0,0,0
1,3,20,0,0,0,0,0,0
1,3,21,0,0,0,0,0,0
1,3,22,0,0,0,0,0,0
1,3,23,0,0,0,0,0,0
1,3,24,0,0,0,0,0,0
1,4,1,0,0,0,0,0,0
1,4,2,0,0,0,0,0,0
1,4,3,0,0,0,0,0,0
1,4,4,0,0,0,0,0,0
1,4,5,0,0,0,0,0,0
1,4,6,0,0,0,0,0,0
1,4,7,0,0,0,0,0,0
1,4,8,0.006851941,0.006851941,0.006851941,0.003404826,0.006851941,0.003404826
1,4,9,0.096477665,0.096477665,0.096477665,0.09713406,0.096477665,0.09713406
1,4,10,0.249043509,0.249043509,0.249043509,0.342719811,0.249043509,0.342719811
1,4,11,0.383977651,0.383977651,0.383977651,0.532570517,0.383977651,0.532570517
1,4,12,0.458170199,0.458170199,0.458170199,0.562807336,0.458170199,0.562807336
1,4,13,0.455856081,0.455856081,0.455856081,0.520914683,0.455856081,0.520914683
1,4,14,0.414096664,0.414096664,0.414096664,0.560576479,0.414096664,0.560576479
1,4,15,0.336172,0.336172,0.336172,0.559676225,0.336172,0.559676225
1,4,16,0.166648546,0.166648546,0.166648546,0.422404136,0.166648546,0.422404136
1,4,17,0.020819051,0.020819051,0.020819051,0.108694964,0.020819051,0.108694964
1,4,18,0,0,0,0.00212327,0,0.00212327
1,4,19,0,0,0,0,0,0
1,4,20,0,0,0,0,0,0
1,4,21,0,0,0,0,0,0
1,4,22,0,0,0,0,0,0
1,4,23,0,0,0,0,0,0
1,4,24,0,0,0,0,0,0
1,5,1,0,0,0,0,0,0
1,5,2,0,0,0,0,0,0
